調查日期,國道編號方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/9,N0010_SB,034K+000,34000,293184.131,2773409.598,121.4280541,25.06828753,柔性,22.538,22.538,6,3.562,3.494,3.562,0.0,0.0,0.0,無,0.0,有,0.949,無,0.448,輔助車道,3.446,輔助車道,3.617,輔助車道,3.46,無,1146.861,0.022,0.054
2022/4/9,N0010_SB,034K+050,34050,293132.934,2773400.68,121.4275464,25.06820848,柔性,22.575,22.575,6,3.437,3.554,3.605,0.0,0.0,0.0,無,0.0,有,0.97,無,0.559,輔助車道,3.492,輔助車道,3.57,輔助車道,3.388,無,647.053,0.02,0.057
2022/4/25,N0010_SB,034K+100,34100,293081.909,2773390.852,121.4270403,25.06812121,柔性,22.794,22.794,6,3.501,3.502,3.571,0.0,0.0,0.0,無,0.0,有,0.924,無,0.53,輔助車道,3.479,輔助車道,3.558,輔助車道,3.73,無,1398.128,0.019,0.054
2022/4/25,N0010_SB,034K+150,34150,293029.093,2773378.142,121.4265164,25.06800797,柔性,24.329,24.329,6,3.452,3.545,3.614,0.0,0.0,0.0,無,0.0,有,1.023,無,0.485,輔助車道,3.564,輔助車道,3.448,輔助車道,5.198,無,1398.19,0.016,0.054
2022/4/25,N0010_SB,034K+200,34200,292978.334,2773366.56,121.4260129,25.06790485,柔性,18.442,27.963,5,3.5,3.479,3.549,0.0,0.0,0.0,有,1.208,有,0.968,無,0.0,輔助車道,3.537,輔助車道,3.409,無,0.0,無,937.986,0.015,0.064
2022/4/25,N0010_SB,034K+250,34250,292934.953,2773341.644,121.4255822,25.06768114,柔性,20.055,20.055,5,3.439,3.513,3.461,0.0,0.0,0.0,無,0.0,有,0.929,無,1.638,輔助車道,3.512,輔助車道,3.563,無,0.0,無,1179.676,0.015,0.069
2022/4/25,N0010_SB,034K+300,34300,292898.173,2773303.724,121.4252164,25.06733984,柔性,20.407,20.407,5,3.284,3.599,3.508,0.0,0.0,0.0,無,0.0,有,0.926,無,2.166,輔助車道,3.395,輔助車道,3.528,無,0.0,無,945.642,0.015,0.067
2022/4/25,N0010_SB,034K+350,34350,292845.424,2773301.208,121.4246935,25.06731862,柔性,20.317,20.317,5,3.455,3.588,3.359,0.0,0.0,0.0,無,0.0,有,1.005,無,1.84,輔助車道,3.484,輔助車道,3.586,無,0.0,無,1354.834,0.012,0.075
2022/4/25,N0010_SB,034K+400,34400,292801.988,2773277.941,121.4242622,25.0671098,柔性,20.269,20.269,5,3.438,3.529,3.488,0.0,0.0,0.0,無,0.0,有,0.996,無,1.755,輔助車道,3.448,輔助車道,3.614,無,0.0,無,1881.702,0.01,0.069
2022/4/25,N0010_SB,034K+450,34450,292759.72,2773252.268,121.4238425,25.06687922,柔性,20.265,20.265,5,3.556,3.545,3.492,0.0,0.0,0.0,無,0.0,有,0.981,無,1.43,輔助車道,3.534,輔助車道,3.728,無,0.0,無,3747.733,0.009,0.059
2022/4/25,N0010_SB,034K+500,34500,292717.372,2773227.136,121.4234219,25.06665352,柔性,21.647,21.647,5,3.603,3.749,3.711,0.0,0.0,0.0,無,0.0,有,0.983,無,2.298,輔助車道,3.526,輔助車道,3.777,無,0.0,無,2433.902,0.01,0.037
2022/4/25,N0010_SB,034K+550,34550,292671.508,2773198.569,121.4229664,25.06639691,柔性,23.642,23.642,5,3.719,3.783,3.778,0.0,0.0,0.0,無,0.0,有,1.742,有,3.051,輔助車道,3.665,輔助車道,3.904,無,0.0,無,1863.136,0.008,0.018
2022/4/25,N0010_SB,034K+600,34600,292624.252,2773172.16,121.4224972,25.06615983,柔性,20.848,28.29,5,3.749,3.773,3.75,0.0,0.0,0.0,有,1.381,有,1.987,無,0.0,輔助車道,3.618,輔助車道,3.971,無,0.0,無,1657.753,0.008,0.001
2022/4/25,N0010_SB,034K+650,34650,292586.007,2773142.602,121.4221172,25.06589405,柔性,25.811,25.811,6,3.831,3.737,3.787,0.0,0.0,0.0,無,0.0,有,1.95,無,1.031,輔助車道,3.643,輔助車道,3.948,輔助車道,3.883,無,8952.781,0.014,-0.016
2022/4/25,N0010_SB,034K+700,34700,292544.936,2773114.812,121.4217093,25.06564432,柔性,25.817,25.817,6,3.802,3.757,3.789,0.0,0.0,0.0,無,0.0,有,1.976,無,1.261,輔助車道,3.54,輔助車道,3.989,輔助車道,3.703,無,48566.52,0.013,-0.014
2022/4/25,N0010_SB,034K+750,34750,292504.54,2773086.941,121.421308,25.06539384,柔性,26.018,26.018,6,3.728,3.742,3.852,0.0,0.0,0.0,無,0.0,有,2.151,無,1.507,輔助車道,3.553,輔助車道,3.773,輔助車道,3.713,無,19741.66,0.011,-0.016
2022/4/25,N0010_SB,034K+800,34800,292463.847,2773059.49,121.4209038,25.06514715,柔性,26.225,26.225,6,3.79,3.7,3.835,0.0,0.0,0.0,無,0.0,有,2.282,無,1.635,輔助車道,3.6,輔助車道,3.797,輔助車道,3.585,無,7208.908,0.012,-0.018
